Rank	Name	Number	Name	Number
1	Jacob	273,746	Emily	223,640
2	Michael	250,471	Madison	193,112
3	Joshua	231,851	Emma	181,195
4	Matthew	221,470	Olivia	155,970
5	Daniel	203,638	Hannah	155,647
6	Christopher	203,219	Abigail	150,828
7	Andrew	202,387	Isabella	149,461
8	Ethan	201,728	Samantha	134,232
9	Joseph	194,628	Elizabeth	133,338
10	William	194,262	Ashley	132,997
11	Anthony	191,781	Alexis	130,737
12	David	179,762	Sarah	124,304
13	Alexander	178,701	Sophia	119,182
14	Nicholas	177,531	Alyssa	114,415
15	Ryan	173,158	Grace	110,661
16	Tyler	165,485	Ava	104,492
17	James	163,017	Taylor	100,942
18	John	160,852	Brianna	99,725
19	Jonathan	144,713	Lauren	97,130
20	Noah	143,373	Chloe	96,431
21	Brandon	142,914	Natalie	95,033
22	Christian	142,313	Kayla	94,302
23	Dylan	140,053	Jessica	90,607
24	Samuel	138,393	Anna	90,138
25	Benjamin	137,174	Victoria	84,894
26	Nathan	134,761	Mia	83,464
27	Zachary	134,707	Hailey	81,938
28	Logan	133,960	Sydney	76,415
29	Justin	122,920	Jasmine	76,000
30	Gabriel	119,731	Julia	70,845
31	Jose	115,676	Morgan	70,733
32	Austin	112,709	Destiny	69,735
33	Kevin	111,015	Rachel	68,232
34	Elijah	110,305	Ella	67,437
35	Caleb	110,002	Kaitlyn	66,887
36	Robert	106,549	Megan	66,805
37	Thomas	102,041	Katherine	65,326
38	Jordan	101,080	Savannah	64,689
39	Cameron	95,832	Jennifer	63,476
40	Jack	95,478	Alexandra	61,222
41	Hunter	94,798	Allison	59,952
42	Jackson	94,453	Haley	57,017
43	Angel	94,260	Maria	56,932
44	Isaiah	92,663	Kaylee	56,380
45	Evan	92,108	Lily	56,150
46	Isaac	90,648	Makayla	54,949
47	Luke	90,450	Brooke	54,654
48	Mason	90,449	Nicole	54,538
49	Jason	88,501	Mackenzie	54,527
50	Jayden	88,501	Addison	51,362
51	Gavin	88,413	Stephanie	49,936
52	Aaron	86,866	Lillian	49,351
53	Connor	85,952	Andrea	49,156
54	Aiden	83,489	Zoe	48,731
55	Aidan	76,473	Faith	48,721
56	Kyle	76,123	Kimberly	48,463
57	Juan	75,810	Madeline	48,264
58	Charles	75,302	Alexa	48,093
59	Luis	74,285	Katelyn	47,810
60	Adam	70,961	Gabriella	47,350
61	Lucas	70,941	Gabrielle	46,995
62	Brian	69,736	Trinity	46,845
63	Eric	69,443	Amanda	46,539
64	Adrian	66,074	Kylie	46,418
65	Nathaniel	64,211	Mary	46,065
66	Sean	64,101	Paige	45,549
67	Alex	63,741	Riley	45,509
68	Carlos	63,144	Leah	45,378
69	Ian	61,906	Jenna	45,283
70	Bryan	61,903	Sara	43,991
71	Owen	61,853	Rebecca	43,617
72	Jesus	61,280	Michelle	43,503
73	Landon	61,084	Sofia	43,352
74	Julian	60,342	Vanessa	43,201
75	Chase	57,140	Jordan	43,156
76	Cole	56,829	Angelina	42,772
77	Diego	56,015	Caroline	41,828
78	Jeremiah	55,593	Avery	41,686
79	Steven	53,845	Audrey	41,498
80	Sebastian	53,829	Evelyn	40,712
81	Xavier	52,426	Maya	40,011
82	Timothy	52,395	Claire	38,997
83	Carter	52,298	Autumn	38,491
84	Wyatt	51,325	Jocelyn	38,366
85	Brayden	50,339	Ariana	37,973
86	Blake	50,076	Nevaeh	37,866
87	Hayden	50,017	Arianna	37,804
88	Devin	49,387	Jada	37,050
89	Cody	48,838	Bailey	36,852
90	Richard	48,545	Brooklyn	36,819
91	Seth	48,135	Aaliyah	36,344
92	Dominic	48,081	Amber	36,187
93	Jaden	46,241	Isabel	36,018
94	Antonio	46,195	Mariah	35,648
95	Miguel	46,062	Danielle	35,598
96	Liam	44,916	Melanie	35,209
97	Patrick	44,762	Sierra	34,501
98	Carson	44,623	Erin	33,354
99	Jesse	43,336	Molly	33,254
100	Tristan	43,266	Amelia	33,248
101	Alejandro	43,090	Isabelle	32,849
